Name,City,State
Albertville High School,Albertville,ALABAMA
Asbury High School,Albertville,ALABAMA
Douglas High School,Douglas,ALABAMA
Kate D Smith DAR High School,Grant,ALABAMA
Brindlee Mountain High School,Guntersville,ALABAMA
Hoover High School,Hoover,ALABAMA
Spain Park High School,Birmingham,ALABAMA
Crossroads School,Hoover,ALABAMA
Bob Jones High School,Madison,ALABAMA
James Clemens High School,Madison,ALABAMA
Leeds High School,Leeds,ALABAMA
Boaz High School,Boaz,ALABAMA
HewittTrussville High School,Trussville,ALABAMA
Benjamin Russell High School,Alexander City,ALABAMA
Andalusia High School,Andalusia,ALABAMA
Anniston High School,Anniston,ALABAMA
Anniston City Boot Camp School,Anniston,ALABAMA
Arab High School,Arab,ALABAMA
Athens High School,Athens,ALABAMA
Etowah High School,Attalla,ALABAMA
Saraland High School,Saraland,ALABAMA
Chickasaw City High School,Chickasaw,ALABAMA
Satsuma High School,Satsuma,ALABAMA
Thompson High School,Alabaster,ALABAMA
Pelham High School,Pelham,ALABAMA
Pike Road High School,Pike Road,ALABAMA
Acceleration Day and Evening Academy,Mobile,ALABAMA
Marbury High School,Deatsville,ALABAMA
Prattville High School,Prattville,ALABAMA
Autauga County Technology Center,Prattville,ALABAMA
Robertsdale High School,Robertsdale,ALABAMA
Fairhope High School,Fairhope,ALABAMA
Gulf Shores High School,Gulf Shores,ALABAMA
North Baldwin Center For Technology,Bay Minette,ALABAMA
South Baldwin Center For Technology,Robertsdale,ALABAMA
Daphne High School,Daphne,ALABAMA
Foley High School,Foley,ALABAMA
Baldwin County High School,Bay Minette,ALABAMA
Spanish Fort High School,Spanish Fort,ALABAMA
Baldwin County Virtual School,Farihope,ALABAMA
Barbour County High School,Clayton,ALABAMA
Bessemer City High School,Bessemer,ALABAMA
New Horizon Alternative School,Bessemer,ALABAMA
Bessemer Center For Technology,Bessemer,ALABAMA
Bibb County High School,Centreville,ALABAMA
West Blocton High School,West Blocton,ALABAMA
Bibb County Career Academy,West Blocton,ALABAMA
Huffman High SchoolMagnet,Birmingham,ALABAMA
JacksonOlin High School,Birmingham,ALABAMA
Parker High School,Birmingham,ALABAMA
Ramsay High School,Birmingham,ALABAMA
Wenonah High School,Birmingham,ALABAMA
Woodlawn High SchoolMagnet,Birmingham,ALABAMA
